Crate Id,Crate Name,Crate Version,Homepage,Documentation,Repository
1,rand,v0.8.4,https://rust-random.github.io/book,https://docs.rs/rand,https://github.com/rust-random/rand
2,syn,v1.0.85, ,https://docs.rs/syn,https://github.com/dtolnay/syn
3,rand_core,v0.6.3,https://rust-random.github.io/book,https://docs.rs/rand_core,https://github.com/rust-random/rand
4,libc,v0.2.112,https://github.com/rust-lang/libc,https://docs.rs/libc/,https://github.com/rust-lang/libc
5,quote,v1.0.14, ,https://docs.rs/quote/,https://github.com/dtolnay/quote
6,cfg-if,v1.0.0,https://github.com/alexcrichton/cfg-if,https://docs.rs/cfg-if,https://github.com/alexcrichton/cfg-if
7,proc-macro2,v1.0.36, ,https://docs.rs/proc-macro2,https://github.com/dtolnay/proc-macro2
8,unicode-xid,v0.2.2,https://github.com/unicode-rs/unicode-xid,https://unicode-rs.github.io/unicode-xid,https://github.com/unicode-rs/unicode-xid
9,serde,v1.0.133,https://serde.rs/,https://docs.serde.rs/serde/,https://github.com/serde-rs/serde
10,bitflags,v1.3.2,https://github.com/bitflags/bitflags,https://docs.rs/bitflags,https://github.com/bitflags/bitflags
11,log,v0.4.14, ,https://docs.rs/log,https://github.com/rust-lang/log
12,lazy_static,v1.4.0, ,https://docs.rs/lazy_static,https://github.com/rust-lang-nursery/lazy-static.rs
13,autocfg,v1.0.1, , ,https://github.com/cuviper/autocfg
14,rand_chacha,v0.3.1,https://rust-random.github.io/book,https://docs.rs/rand_chacha,https://github.com/rust-random/rand
15,base64,v0.13.0, ,https://docs.rs/base64,https://github.com/marshallpierce/rust-base64
16,memchr,v2.4.1,https://github.com/BurntSushi/memchr,https://docs.rs/memchr/,https://github.com/BurntSushi/memchr
17,num-traits,v0.2.14,https://github.com/rust-num/num-traits,https://docs.rs/num-traits,https://github.com/rust-num/num-traits
18,serde_derive,v1.0.133,https://serde.rs/,https://serde.rs/derive.html,https://github.com/serde-rs/serde
19,regex,v1.5.4,https://github.com/rust-lang/regex,https://docs.rs/regex,https://github.com/rust-lang/regex
20,regex-syntax,v0.6.25,https://github.com/rust-lang/regex,https://docs.rs/regex-syntax,https://github.com/rust-lang/regex
21,serde_json,v1.0.74, ,https://docs.serde.rs/serde_json/,https://github.com/serde-rs/json
22,smallvec,v1.7.0, ,https://docs.rs/smallvec/,https://github.com/servo/rust-smallvec
23,getrandom,v0.2.3, ,https://docs.rs/getrandom,https://github.com/rust-random/getrandom
24,cc,v1.0.72,https://github.com/alexcrichton/cc-rs,https://docs.rs/cc,https://github.com/alexcrichton/cc-rs
25,time,v0.3.5,https://time-rs.github.io/, ,https://github.com/time-rs/time
26,itoa,v1.0.1, ,https://docs.rs/itoa,https://github.com/dtolnay/itoa
27,aho-corasick,v0.7.18,https://github.com/BurntSushi/aho-corasick, ,https://github.com/BurntSushi/aho-corasick
28,byteorder,v1.4.3,https://github.com/BurntSushi/byteorder,https://docs.rs/byteorder,https://github.com/BurntSushi/byteorder
29,version_check,v0.9.4, ,https://docs.rs/version_check/,https://github.com/SergioBenitez/version_check
30,crossbeam-utils,v0.8.6,https://github.com/crossbeam-rs/crossbeam/tree/master/crossbeam-utils, ,https://github.com/crossbeam-rs/crossbeam
31,bytes,v1.1.0, , ,https://github.com/tokio-rs/bytes
32,parking_lot_core,v0.8.5, , ,https://github.com/Amanieu/parking_lot
33,parking_lot,v0.11.2, , ,https://github.com/Amanieu/parking_lot
34,strsim,v0.10.0,https://github.com/dguo/strsim-rs,https://docs.rs/strsim/,https://github.com/dguo/strsim-rs
35,semver,v1.0.4, ,https://docs.rs/semver,https://github.com/dtolnay/semver
36,scopeguard,v1.1.0, ,https://docs.rs/scopeguard/,https://github.com/bluss/scopeguard
37,ryu,v1.0.9, ,https://docs.rs/ryu,https://github.com/dtolnay/ryu
38,num_cpus,v1.13.1, ,https://docs.rs/num_cpus,https://github.com/seanmonstar/num_cpus
39,url,v2.2.2, ,https://docs.rs/url,https://github.com/servo/rust-url
40,atty,v0.2.14,https://github.com/softprops/atty,http://softprops.github.io/atty,https://github.com/softprops/atty
41,lock_api,v0.4.5, , ,https://github.com/Amanieu/parking_lot
42,percent-encoding,v2.1.0, , ,https://github.com/servo/rust-url/
43,ansi_term,v0.12.1,https://github.com/ogham/rust-ansi-term,https://docs.rs/ansi_term,https://github.com/ogham/rust-ansi-term
44,num-integer,v0.1.44,https://github.com/rust-num/num-integer,https://docs.rs/num-integer,https://github.com/rust-num/num-integer
45,idna,v0.2.3, , ,https://github.com/servo/rust-url/
46,generic-array,v0.14.5, ,http://fizyk20.github.io/generic-array/generic_array/,https://github.com/fizyk20/generic-array.git
47,unicode-width,v0.1.9,https://github.com/unicode-rs/unicode-width,https://unicode-rs.github.io/unicode-width,https://github.com/unicode-rs/unicode-width
48,winapi,v0.3.9, ,https://docs.rs/winapi/,https://github.com/retep998/winapi-rs
49,mio,v0.8.0,https://github.com/tokio-rs/mio, ,https://github.com/tokio-rs/mio
50,tokio,v1.15.0,https://tokio.rs/, ,https://github.com/tokio-rs/tokio
51,futures,v0.3.19,https://rust-lang.github.io/futures-rs, ,https://github.com/rust-lang/futures-rs
52,clap,v3.0.5, ,https://docs.rs/clap/,https://github.com/clap-rs/clap
53,itertools,v0.10.3, ,https://docs.rs/itertools/,https://github.com/rust-itertools/itertools
54,thread_local,v1.1.3, ,https://docs.rs/thread_local/,https://github.com/Amanieu/thread_local-rs
55,either,v1.6.1, ,https://docs.rs/either/1/,https://github.com/bluss/either
56,chrono,v0.4.19,https://github.com/chronotope/chrono,https://docs.rs/chrono/,https://github.com/chronotope/chrono
57,slab,v0.4.5,https://github.com/tokio-rs/slab,https://docs.rs/slab,https://github.com/tokio-rs/slab
58,indexmap,v1.8.0, ,https://docs.rs/indexmap/,https://github.com/bluss/indexmap
59,ppv-lite86,v0.2.16, , ,https://github.com/cryptocorrosion/cryptocorrosion
60,unicode-normalization,v0.1.19,https://github.com/unicode-rs/unicode-normalization,https://docs.rs/unicode-normalization/,https://github.com/unicode-rs/unicode-normalization
61,env_logger,v0.9.0, ,https://docs.rs/env_logger,https://github.com/env-logger-rs/env_logger/
62,digest,v0.10.1, ,https://docs.rs/digest,https://github.com/RustCrypto/traits
63,textwrap,v0.14.2, ,https://docs.rs/textwrap/,https://github.com/mgeisler/textwrap
64,fnv,v1.0.7, ,https://doc.servo.org/fnv/,https://github.com/servo/rust-fnv
